weekid,song,performer,week_position,Last Week,peak_position,weeks_on_chart,Image URL,month,week_of_year,is_december
1958-12-10,Run Rudolph Run,Chuck Berry,83,83,1,1,https://charts-static.billboard.com/img/1958/12/chuck-berry-u0i-runrudolphrun-bp6-180x180.jpg,12,50,True
1958-12-17,Jingle Bell Rock,Bobby Helms,57,57,1,1,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,51,True
1958-12-17,Run Rudolph Run,Chuck Berry,73,83,73,2,https://charts-static.billboard.com/img/1958/12/chuck-berry-u0i-runrudolphrun-bp6-180x180.jpg,12,51,True
1958-12-17,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,86,86,1,1,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-whitechristmas-imr-180x180.jpg,12,51,True
1958-12-24,Jingle Bell Rock,Bobby Helms,35,57,35,2,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,52,True
1958-12-24,Green Chri$Tma$,Stan Freberg,44,44,1,1,https://charts-static.billboard.com/img/1958/12/stan-freberg-o84-106x106.jpg,12,52,True
1958-12-24,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,66,86,66,2,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-whitechristmas-imr-180x180.jpg,12,52,True
1958-12-24,Run Rudolph Run,Chuck Berry,69,73,69,3,https://charts-static.billboard.com/img/1958/12/chuck-berry-u0i-runrudolphrun-bp6-180x180.jpg,12,52,True
1958-12-31,Jingle Bell Rock,Bobby Helms,45,35,35,3,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,1,True
1958-12-31,Green Chri$Tma$,Stan Freberg,53,44,44,2,https://charts-static.billboard.com/img/1958/12/stan-freberg-o84-106x106.jpg,12,1,True
1959-01-07,Jingle Bell Rock,Bobby Helms,70,45,35,4,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,1,2,False
1959-12-02,The Happy Reindeer,Dancer| Prancer And Nervous,83,83,1,1,#,12,49,True
1959-12-09,The Happy Reindeer,Dancer| Prancer And Nervous,80,83,80,2,#,12,50,True
1959-12-09,The Chipmunk Song (Christmas Don'T Be Late),David Seville And The Chipmunks,89,89,1,1,https://charts-static.billboard.com/img/1959/12/david-seville-d6d-106x106.jpg,12,50,True
1959-12-16,The Chipmunk Song (Christmas Don'T Be Late),David Seville And The Chipmunks,68,89,68,2,https://charts-static.billboard.com/img/1959/12/david-seville-d6d-106x106.jpg,12,51,True
1959-12-16,The Happy Reindeer,Dancer| Prancer And Nervous,76,80,76,3,#,12,51,True
1959-12-16,This Time Of The Year,Brook Benton,96,96,1,1,https://charts-static.billboard.com/img/1959/12/brook-benton-3xq-180x180.jpg,12,51,True
1959-12-23,The Happy Reindeer,Dancer| Prancer And Nervous,34,76,34,4,#,12,52,True
1959-12-23,The Chipmunk Song (Christmas Don'T Be Late),David Seville And The Chipmunks,41,68,41,3,https://charts-static.billboard.com/img/1959/12/david-seville-d6d-106x106.jpg,12,52,True
1959-12-23,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,59,59,3,1,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-whitechristmas-imr-180x180.jpg,12,52,True
1959-12-23,This Time Of The Year,Brook Benton,77,96,77,2,https://charts-static.billboard.com/img/1959/12/brook-benton-3xq-180x180.jpg,12,52,True
1959-12-30,The Happy Reindeer,Dancer| Prancer And Nervous,45,34,34,5,#,12,53,True
1959-12-30,The Chipmunk Song (Christmas Don'T Be Late),David Seville And The Chipmunks,61,41,41,4,https://charts-static.billboard.com/img/1959/12/david-seville-d6d-106x106.jpg,12,53,True
1959-12-30,This Time Of The Year,Brook Benton,75,77,75,3,https://charts-static.billboard.com/img/1959/12/brook-benton-3xq-180x180.jpg,12,53,True
1960-01-06,The Chipmunk Song (Christmas Don'T Be Late),David Seville And The Chipmunks,62,61,41,5,https://charts-static.billboard.com/img/1959/12/david-seville-d6d-106x106.jpg,1,1,False
1960-01-06,This Time Of The Year,Brook Benton,70,75,70,4,https://charts-static.billboard.com/img/1959/12/brook-benton-3xq-180x180.jpg,1,1,False
1960-01-06,The Happy Reindeer,Dancer| Prancer And Nervous,93,45,34,6,#,1,1,False
1960-01-13,This Time Of The Year,Brook Benton,66,70,66,5,https://charts-static.billboard.com/img/1959/12/brook-benton-3xq-180x180.jpg,1,2,False
1960-12-07,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,55,55,4,1,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-whitechristmas-imr-180x180.jpg,12,49,True
1960-12-07,Rockin' Around The Christmas Tree,Brenda Lee,64,64,1,1,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,12,49,True
1960-12-07,The Chipmunk Song (Christmas Don'T Be Late),David Seville And The Chipmunks,66,41,6,1,https://charts-static.billboard.com/img/1959/12/david-seville-d6d-106x106.jpg,12,49,True
1960-12-07,Jingle Bell Rock,Bobby Helms,69,35,5,1,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,49,True
1960-12-07,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",100,100,1,1,https://charts-static.billboard.com/img/1960/12/nat-king-cole-xik-thechristmassongmerrychristmastoyou-ucy-180x180.jpg,12,49,True
1960-12-14,Rockin' Around The Christmas Tree,Brenda Lee,26,64,26,2,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,12,50,True
1960-12-14,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,32,55,32,5,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-whitechristmas-imr-180x180.jpg,12,50,True
1960-12-14,The Chipmunk Song (Christmas Don'T Be Late),David Seville And The Chipmunks,45,66,41,7,https://charts-static.billboard.com/img/1959/12/david-seville-d6d-106x106.jpg,12,50,True
1960-12-14,Jingle Bell Rock,Bobby Helms,46,69,35,6,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,50,True
1960-12-14,Silent Night,Bing Crosby With John Scott Trotter And His Orchestra & Max Terr'S Mixed Chorus,64,64,1,1,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-180x180.jpg,12,50,True
1960-12-14,Twistin' Bells,Santo & Johnny,78,78,1,1,https://charts-static.billboard.com/img/1960/12/santo-johnny-3mm-180x180.jpg,12,50,True
1960-12-14,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",80,100,80,2,https://charts-static.billboard.com/img/1960/12/nat-king-cole-xik-thechristmassongmerrychristmastoyou-ucy-180x180.jpg,12,50,True
1960-12-14,Christmas Auld Lang Syne,Bobby Darin,89,89,1,1,https://charts-static.billboard.com/img/1960/12/bobby-darin-hm6-180x180.jpg,12,50,True
1960-12-14,White Christmas,The Drifters Featuring Clyde Mcphatter And Bill Pinkney,96,96,1,1,https://charts-static.billboard.com/img/2013/12/the-drifters-p4v-white-christmas-d9j-180x180.jpg,12,50,True
1960-12-14,Blue Christmas,The Browns Featuring Jim Edward Brown,97,97,1,1,https://charts-static.billboard.com/img/1960/12/the-browns-26x-180x180.jpg,12,50,True
1960-12-21,Rockin' Around The Christmas Tree,Brenda Lee,14,26,14,3,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,12,51,True
1960-12-21,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,26,32,26,6,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-whitechristmas-imr-180x180.jpg,12,51,True
1960-12-21,Jingle Bell Rock,Bobby Helms,36,46,35,7,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,51,True
1960-12-21,Silent Night,Bing Crosby With John Scott Trotter And His Orchestra & Max Terr'S Mixed Chorus,54,64,54,2,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-180x180.jpg,12,51,True
1960-12-21,Christmas Auld Lang Syne,Bobby Darin,58,89,58,2,https://charts-static.billboard.com/img/1960/12/bobby-darin-hm6-180x180.jpg,12,51,True
1960-12-21,The Chipmunk Song (Christmas Don'T Be Late),David Seville And The Chipmunks,60,45,41,8,https://charts-static.billboard.com/img/1959/12/david-seville-d6d-106x106.jpg,12,51,True
1960-12-21,Twistin' Bells,Santo & Johnny,61,78,61,2,https://charts-static.billboard.com/img/1960/12/santo-johnny-3mm-180x180.jpg,12,51,True
1960-12-21,Child Of God,Bobby Darin,95,95,1,1,https://charts-static.billboard.com/img/1960/12/bobby-darin-hm6-180x180.jpg,12,51,True
1960-12-28,Rockin' Around The Christmas Tree,Brenda Lee,18,14,14,4,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,12,52,True
1960-12-28,Twistin' Bells,Santo & Johnny,49,61,49,3,https://charts-static.billboard.com/img/1960/12/santo-johnny-3mm-180x180.jpg,12,52,True
1960-12-28,Christmas Auld Lang Syne,Bobby Darin,51,58,51,3,https://charts-static.billboard.com/img/1960/12/bobby-darin-hm6-180x180.jpg,12,52,True
1961-11-22,Little Altar Boy,Vic Dana,99,99,1,1,#,11,47,False
1961-11-29,Little Altar Boy,Vic Dana,78,99,78,2,#,11,48,False
1961-12-06,Little Altar Boy,Vic Dana,57,78,57,3,#,12,49,True
1961-12-06,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,66,26,7,1,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-whitechristmas-imr-180x180.jpg,12,49,True
1961-12-06,Jingle Bell Rock,Bobby Helms,68,35,8,1,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,49,True
1961-12-06,Jingle Bell Rock,Bobby Rydell/Chubby Checker,71,71,1,1,https://charts-static.billboard.com/img/1961/12/bobby-rydell-1pg-180x180.jpg,12,49,True
1961-12-06,Baby'S First Christmas,Connie Francis,73,73,1,1,https://charts-static.billboard.com/img/1961/12/connie-francis-411-180x180.jpg,12,49,True
1961-12-06,Rockin' Around The Christmas Tree,Brenda Lee,85,14,5,1,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,12,49,True
1961-12-13,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,33,66,26,8,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-whitechristmas-imr-180x180.jpg,12,50,True
1961-12-13,Jingle Bell Rock,Bobby Rydell/Chubby Checker,45,71,45,2,https://charts-static.billboard.com/img/1961/12/bobby-rydell-1pg-180x180.jpg,12,50,True
1961-12-13,Little Altar Boy,Vic Dana,51,57,51,4,#,12,50,True
1961-12-13,Baby'S First Christmas,Connie Francis,54,73,54,2,https://charts-static.billboard.com/img/1961/12/connie-francis-411-180x180.jpg,12,50,True
1961-12-13,Jingle Bell Rock,Bobby Helms,58,68,35,9,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,50,True
1961-12-13,The Chipmunk Song (Christmas Don'T Be Late),David Seville And The Chipmunks,63,41,9,1,https://charts-static.billboard.com/img/1959/12/david-seville-d6d-106x106.jpg,12,50,True
1961-12-13,Rockin' Around The Christmas Tree,Brenda Lee,84,85,14,6,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,12,50,True
1961-12-20,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,20,33,20,9,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-whitechristmas-imr-180x180.jpg,12,51,True
1961-12-20,Jingle Bell Rock,Bobby Rydell/Chubby Checker,27,45,27,3,https://charts-static.billboard.com/img/1961/12/bobby-rydell-1pg-180x180.jpg,12,51,True
1961-12-20,Baby'S First Christmas,Connie Francis,43,54,43,3,https://charts-static.billboard.com/img/1961/12/connie-francis-411-180x180.jpg,12,51,True
1961-12-20,The Chipmunk Song (Christmas Don'T Be Late),David Seville And The Chipmunks,47,63,41,10,https://charts-static.billboard.com/img/1959/12/david-seville-d6d-106x106.jpg,12,51,True
1961-12-20,Little Altar Boy,Vic Dana,48,51,48,5,#,12,51,True
1961-12-20,Jingle Bell Rock,Bobby Helms,49,58,35,10,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,51,True
